idRegistro;idUsuario;idEmpresa;tipo_operacion;fecha;hora_local;direccion_ip;dispositivo;plataforma;ubicacion;fecha_edicion;usuario_edicion;ip_edicion;descripcion;manual
4287516;214267;24878;1;"2026-03-06 20:00:00";"2026-03-06 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.360141 / Long:2.138216";;;;1;1
4292418;208673;24878;0;"2026-03-09 15:00:00";"2026-03-09 15:00:00";90.173.187.34;Ordenador;"Chrome 145";;;;;"turno tarde ";1
4292419;208673;24878;1;"2026-03-09 20:00:00";"2026-03-09 20:00:00";90.173.187.34;Ordenador;"Chrome 145";;;;;"turno tarde ";1
4298556;208673;24878;0;"2026-03-10 15:00:00";"2026-03-10 15:00:00";90.173.187.34;Ordenador;"Chrome 145";;;;;"turno tarde ";1
4298557;208673;24878;1;"2026-03-10 20:00:00";"2026-03-10 20:00:00";90.173.187.34;Ordenador;"Chrome 145";;;;;"turno tarde ";1
4298587;214267;24878;0;"2026-03-09 15:00:00";"2026-03-09 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.35998502074889 / Long:2.1382036240228763";;;;1;1
4298588;214267;24878;1;"2026-03-09 20:00:00";"2026-03-09 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.35998502074889 / Long:2.1382036240228763";;;;1;1
4298591;214267;24878;0;"2026-03-10 15:00:00";"2026-03-10 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.35998502074889 / Long:2.1382036240228763";;;;1;1
4298592;214267;24878;1;"2026-03-10 20:00:00";"2026-03-10 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.35998502074889 / Long:2.1382036240228763";;;;1;1
4304969;208673;24878;0;"2026-03-11 15:00:00";"2026-03-11 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36000925459402 / Long:2.137889732698369";;;;"turno tarde ";1
4304970;208673;24878;1;"2026-03-11 20:00:00";"2026-03-11 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36000925459402 / Long:2.137889732698369";;;;"turno tarde ";1
4312190;214267;24878;0;"2026-03-11 15:00:00";"2026-03-11 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.359943324896655 / Long:2.1375948273155068";;;;1;1
4312191;214267;24878;1;"2026-03-11 20:00:00";"2026-03-11 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.359943324896655 / Long:2.1375948273155068";;;;1;1
4312192;214267;24878;0;"2026-03-12 15:00:00";"2026-03-12 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.359943324896655 / Long:2.1375948273155068";;;;2;1
4312193;214267;24878;1;"2026-03-12 20:00:00";"2026-03-12 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.359943324896655 / Long:2.1375948273155068";;;;2;1
4316109;208673;24878;0;"2026-03-12 15:00:00";"2026-03-12 15:00:00";95.17.62.136;true;"Safari 604";;;;;"Turno tarde 
";1
4316110;208673;24878;1;"2026-03-12 20:00:00";"2026-03-12 20:00:00";95.17.62.136;true;"Safari 604";;;;;"Turno tarde 
";1
4316113;208673;24878;0;"2026-03-13 15:00:00";"2026-03-13 15:00:00";95.17.62.136;true;"Safari 604";;;;;"Turno tarde ";1
4316114;208673;24878;1;"2026-03-13 20:00:00";"2026-03-13 20:00:00";95.17.62.136;true;"Safari 604";;;;;"Turno tarde ";1
4317183;214267;24878;0;"2026-03-13 15:00:00";"2026-03-13 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36023428478288 / Long:2.1377965947786137";;;;1;1
4317184;214267;24878;1;"2026-03-13 20:00:00";"2026-03-13 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36023428478288 / Long:2.1377965947786137";;;;1;1
4322510;208673;24878;0;"2026-03-16 15:00:00";"2026-03-16 15:00:00";90.173.187.34;Ordenador;"Chrome 145";;;;;"turno tarde ";1
4322511;208673;24878;1;"2026-03-16 20:00:00";"2026-03-16 20:00:00";90.173.187.34;Ordenador;"Chrome 145";;;;;"turno tarde ";1
4322764;214267;24878;0;"2026-03-16 15:00:00";"2026-03-16 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36036152956631 / Long:2.137959946817476";;;;1;1
4322765;214267;24878;1;"2026-03-16 20:00:00";"2026-03-16 20:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36036152956631 / Long:2.137959946817476";;;;1;1
4327907;209432;24878;0;"2026-03-16 09:00:00";"2026-03-16 09:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36031688839995 / Long:2.137876555199118";;;;"Jornada Completa";1
4327908;209432;24878;2;"2026-03-16 14:00:00";"2026-03-16 14:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36031688839995 / Long:2.137876555199118";;;;"Jornada Completa";1
4327909;209432;24878;3;"2026-03-16 15:00:00";"2026-03-16 15:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36031688839995 / Long:2.137876555199118";;;;"Jornada Completa";1
4327910;209432;24878;1;"2026-03-16 18:00:00";"2026-03-16 18:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36031688839995 / Long:2.137876555199118";;;;"Jornada Completa";1
4327915;209432;24878;0;"2026-03-17 09:05:00";"2026-03-17 09:05:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36031688839995 / Long:2.137876555199118";;;;"Jornada Completa";1
4327916;209432;24878;2;"2026-03-17 14:00:00";"2026-03-17 14:00:00";90.173.187.34;Ordenador;"Chrome 145";"Lat:41.36031688839995 / Long:2.137876555199118";;;;"Jornada Completa";1
